radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	2687500007.0	40129855.61596844	4.097962805688225e+21	168.0955461236608	0.0	2687500007.0	40129855.61596844	4.097962805688225e+21	168.0955461236608	0.034	3.333524998151087e-08	3.6627735871235194e+55	0.034	1.4648056462518818e+22	20119305337300.76	37946721554243.34	1097593056.849369	8.526028446687449e+43	1.0597486605150084e+59	2437877088470582.0	2437877088470582.0	
0.11	136441.5	2687500007.0	40129855.61596844	4.642991858844759e+21	223735.1718905926	136441.5	2687500007.0	40129855.61596844	4.642991858844759e+21	223735.1718905926	0.034	3.333524998151087e-08	3.6627735871235194e+55	0.034	1.4648056462518818e+22	20119305337300.76	37946721554243.34	1097593056.849369	8.526028446687449e+43	1.0597486605150084e+59	2437877088470582.0	2437877088470582.0	
12.1394787422859	16549643.832151927	2687500006.9999976	40129855.615967624	7.331123851806793e+26	300715852778.0967	16549643.832151927	2687500006.9999976	40129855.615967624	7.331123851806793e+26	300715852778.0967	0.034	3.33352499815105e-08	3.662773587123453e+55	0.034	1.4648056462518738e+22	20119305337300.703	37946721554243.28	1097593056.8493433	8.526028446687133e+43	1.0597486605149283e+59	2437877088470460.0	2437877088470460.0	
556.6313166587688	759462524.3708014	2687500006.9948816	40129855.61426787	7.067583074599977e+31	2.8990727656064896e+16	759462524.3708014	2687500006.9948816	40129855.61426787	7.067583074599977e+31	2.8990727656064896e+16	0.034	3.3335249980744235e-08	3.662773586983129e+55	0.034	1.464805646235131e+22	20119305337166.1	37946721554119.87	1097593056.7944949	8.526028446002992e+43	1.0597486603363854e+59	2437877088227978.5	2437877088227978.5	
5881.272214741313	8024482909.993659	2687500006.428578	40129855.45659572	8.336463670238657e+34	3.419558592839491e+19	8024482909.993659	2687500006.428578	40129855.45659572	8.336463670238657e+34	3.419558592839491e+19	0.034	3.33352499136463e-08	3.662773572841221e+55	0.034	1.464805644497453e+22	20119305322675.21	37946721541442.484	1097593051.5568697	8.526028376751777e+43	1.0597486421832378e+59	2437877063238336.0	2437877063238336.0	
26462.409565152295	36105696765.916725	2687499995.431589	40129853.538932905	7.593748935693145e+36	3.114901807594817e+21	36105696765.916725	2687499995.431589	40129853.538932905	7.593748935693145e+36	3.114901807594817e+21	0.034	3.333524927598142e-08	3.662773350436356e+55	0.034	1.464805615095374e+22	20119305056605.895	37946721332203.97	1097592981.141833	8.526027275058501e+43	1.0597483500989645e+59	2437876647474221.5	2437876647474221.5	
73973.16352959245	100930079985.06711	2687499916.601069	40129846.79812831	1.6587873897408242e+38	6.804226371222865e+22	100930079985.06711	2687499916.601069	40129846.79812831	1.6587873897408242e+38	6.804226371222865e+22	0.034	3.3335248778640384e-08	3.6627720758720463e+55	0.034	1.4648054309147099e+22	20119303243174.08	37946720058503.234	1097592667.9942381	8.526020866154164e+43	1.0597466263451888e+59	2437874092718733.5	2437874092718733.5	
155669.44312936813	212397687966.13226	2687499606.6668	40129838.69909121	1.545887940202003e+39	6.341124257664398e+23	212397687966.13226	2687499606.6668	40129838.69909121	1.545887940202003e+39	6.341124257664398e+23	0.034	3.3335257524504095e-08	3.662767904600042e+55	0.034	1.464804776615475e+22	20119296359932.574	37946715644960.58	1097591940.160629	8.525999578615175e+43	1.0597408211594274e+59	2437865166331135.5	2437865166331135.5	
255669.44312936813	348839167163.8442	2687498927.1271033	40129857.01923696	6.848619138964575e+39	2.809264741236239e+24	348839167163.8442	2687498927.1271033	40129857.01923696	6.848619138964575e+39	2.809264741236239e+24	0.034	3.333529767842443e-08	3.662760405428874e+55	0.034	1.4648034789488448e+22	20119281751548.73	37946707133005.4	1097591331.1218348	8.525960570260464e+43	1.0597299986679393e+59	2437847786755306.0	2437847786755306.0	
355669.4431293681	485280770503.7427	2687497917.181487	40129922.9307867	1.8437585193309965e+40	7.563035164314689e+24	485280770503.7427	2687497917.181487	40129922.9307867	1.8437585193309965e+40	7.563035164314689e+24	0.034	3.333537984995052e-08	3.662751025412551e+55	0.034	1.4648016971244644e+22	20119260558515.918	37946695731378.055	1097591483.9938483	8.525910814229035e+43	1.0597159573144027e+59	2437824307071733.0	2437824307071733.0	
455669.4431293681	621722679624.4543	2687496576.8256836	40130041.70177941	3.877141044752803e+40	1.5904014596228776e+25	621722679624.4543	2687496576.8256836	40130041.70177941	3.877141044752803e+40	1.5904014596228776e+25	0.034	3.3335507102722564e-08	3.6627400049095387e+55	0.034	1.4647994511261442e+22	20119232851330.555	37946681610111.81	1097592542.8485727	8.525851429590586e+43	1.0596989753561218e+59	2437795047335720.0	2437795047335720.0	
555669.4431293681	758165079976.9846	2687494906.0530367	40130214.79028386	7.030863665169004e+40	2.8840815425781098e+25	758165079976.9846	2687494906.0530367	40130214.79028386	7.030863665169004e+40	2.8840815425781098e+25	0.034	3.333568028513433e-08	3.662727410365263e+55	0.034	1.4647967464759006e+22	20119198649401.805	37946664816190.11	1097594547.5434992	8.52578272576624e+43	1.0596791297892088e+59	2437760096104531.5	2437760096104531.5	
655669.4431293681	894608159148.7487	2687492904.8544946	40130442.93818903	1.155077093434704e+41	4.738207996724174e+25	894608159148.7487	2687492904.8544946	40130442.93818903	1.155077093434704e+41	4.738207996724174e+25	0.034	3.3335899829307776e-08	3.662713275501475e+55	0.034	1.464793585973858e+22	20119157962497.508	37946645373437.94	1097597518.340008	8.52570485983577e+43	1.0596564597493202e+59	2437719498383165.0	2437719498383165.0	
