radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	688013691.0	5014.901151880622	3.1921412876581074e+27	0.02100636882296954	0.0	688013691.0	5014.901151880622	3.1921412876581074e+27	0.02100636882296954	0.034	7.274278758837799e-09	1.9339485743924077e+48	0.034	5.655729049861988e+19	328613281307.0071	9221851979595.23	589.1563416426291	1.7852080033554532e+28	1.5196064177296754e+25	5.385980523554872e-07	1.5196064177296754e+25	
0.11	17.0	688013691.0	5014.901151880622	3.616696078916636e+27	27.95947690337247	17.0	688013691.0	5014.901151880622	3.616696078916636e+27	27.95947690337247	0.034	7.274278758837799e-09	1.9339485743924077e+48	0.034	5.655729049861988e+19	328613281307.0071	9221851979595.23	589.1563416426291	1.7852080033554532e+28	1.5196064177296754e+25	5.385980523554872e-07	1.5196064177296754e+25	
12.196032388373153	2077.748763368047	688013691.0	5014.901151880622	5.790821875317389e+32	38107169.65612858	2077.748763368047	688013691.0	5014.901151880622	5.790821875317389e+32	38107169.65612858	0.034	7.274278758837799e-09	1.9339485743924077e+48	0.034	5.655729049861988e+19	328613281307.0071	9221851979595.23	589.1563416426291	1.7852080033554532e+28	1.5196064177296754e+25	5.385980523554872e-07	1.5196064177296754e+25	
1479.0464558608915	252185.48462585913	688013691.0	5014.901151879839	1.0328269241861527e+39	67966738764205.28	252185.48462585913	688013691.0	5014.901151879839	1.0328269241861527e+39	67966738764205.28	0.034	7.274278758837004e-09	1.9339485743922568e+48	0.034	5.6557290498619875e+19	328613281307.0071	9221851979595.23	589.156341642537	1.7852080033551742e+28	1.5196064177292003e+25	5.385980523554032e-07	1.5196064177292003e+25	
46362.06937119853	7905038.87708441	688013690.9999633	5014.901151142373	3.1810503487335294e+43	2.0933383209839432e+18	7905038.87708441	688013690.9999633	5014.901151142373	3.1810503487335294e+43	2.0933383209839432e+18	0.034	7.274278758089562e-09	1.933948574249129e+48	0.034	5.655729049860101e+19	328613281306.9446	9221851979594.26	589.156341555773	1.7852080030907544e+28	1.5196064172787047e+25	5.385980522753367e-07	1.5196064172787047e+25	
146362.06937119854	24955702.78935501	688013690.9996337	5014.901149315575	1.0008470872089961e+45	6.586225711705314e+19	24955702.78935501	688013690.9996337	5014.901149315575	1.0008470872089961e+45	6.586225711705314e+19	0.034	7.274278756246877e-09	1.9339485738885472e+48	0.034	5.655729049847584e+19	328613281306.44794	9221851979588.664	589.1563413400297	1.7852080024234315e+28	1.5196064161395582e+25	5.385980520714008e-07	1.5196064161395582e+25	
246362.06937119854	42006366.70006314	688013690.9989619	5014.901151396998	4.773134095526406e+45	3.1410331252968364e+20	42006366.70006314	688013690.9989619	5014.901151396998	4.773134095526406e+45	3.1410331252968364e+20	0.034	7.2742787583851545e-09	1.933948574272894e+48	0.034	5.6557290498274296e+19	328613281305.5135	9221851979581.01	589.1563415822567	1.7852080031296912e+28	1.5196064173356963e+25	5.385980522791676e-07	1.5196064173356963e+25	
346362.06937119854	59057030.62355204	688013690.997948	5014.901157524665	1.3263956314128493e+46	8.728547179001741e+20	59057030.62355204	688013690.997948	5014.901157524665	1.3263956314128493e+46	8.728547179001741e+20	0.034	7.274278764644541e-09	1.9339485754287827e+48	0.034	5.655729049799762e+19	328613281304.1432	9221851979571.387	589.1563422986692	1.7852080052586718e+28	1.5196064209507574e+25	5.385980529134659e-07	1.5196064209507574e+25	
446362.06937119854	76107694.57457921	688013690.9965922	5014.901167949371	2.838859857348132e+46	1.8681546876587166e+21	76107694.57457921	688013690.9965922	5014.901167949371	2.838859857348132e+46	1.8681546876587166e+21	0.034	7.274278775279681e-09	1.9339485774045752e+48	0.034	5.655729049764819e+19	328613281302.34033	9221851979559.953	589.1563435187312	1.7852080088996513e+28	1.51960642713674e+25	5.385980540012308e-07	1.51960642713674e+25	
546362.0693711985	93158358.56818253	688013690.9948939	5014.901182779977	5.206234578024019e+46	3.426041438005618e+21	93158358.56818253	688013690.9948939	5014.901182779977	5.206234578024019e+46	3.426041438005618e+21	0.034	7.274278790401122e-09	1.9339485802212522e+48	0.034	5.65572904972269e+19	328613281300.1062	9221851979546.78	589.1563452552308	1.7852080140913713e+28	1.5196064359595846e+25	5.38598055554149e-07	1.5196064359595846e+25	
