radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	812500001.0	271697360.62493336	48758522.94191518	1138.0832428520368	0.0	812500001.0	271697360.62493336	48758522.94191518	1138.0832428520368	0.034	8.36900939592305e-06	2.0109119275740563e+51	0.034	4.2011591915747656e+21	4180898085108.6797	17840398543202.832	62081007.72907335	2.647372374560818e+34	6.719453467174856e+37	4.284266836204909	4.284266836204909	
0.11	923771.0	812500001.0	271697360.62493336	55243406.49318991	1514788.7962360615	923771.0	812500001.0	271697360.62493336	55243406.49318991	1514788.7962360615	0.034	8.36900939592305e-06	2.0109119275740563e+51	0.034	4.2011591915747656e+21	4180898085108.6797	17840398543202.832	62081007.72907335	2.647372374560818e+34	6.719453467174856e+37	4.284266836204909	4.284266836204909	
11.74462462934944	108401062.32429667	812500000.9998899	271697360.62485456	7898973265428.835	1843705075738.7988	108401062.32429667	812500000.9998899	271697360.62485456	7898973265428.835	1843705075738.7988	0.034	8.369009395925321e-06	2.0109119275713115e+51	0.034	4.2011591915728997e+21	4180898085107.4043	17840398543200.01	62081007.7290217	2.647372374552908e+34	6.719453467130819e+37	4.2842668361862435	4.2842668361862435	
233.99948935359447	2161527106.719343	812500000.9562913	271697360.5941381	6.247341856057347e+16	1.4582055868541846e+16	2161527106.719343	812500000.9562913	271697360.5941381	6.247341856057347e+16	1.4582055868541846e+16	0.034	8.369009396834792e-06	2.0109119264864953e+51	0.034	4.201159190842624e+21	4180898084608.804	17840398542091.695	62081007.70867818	2.6473723714266697e+34	6.719453449746735e+37	4.284266828805107	4.284266828805107	
1520.8816429603596	14049371561.329647	812499999.1535938	271697359.39192563	1.715287106518714e+19	4.0036885119223153e+18	14049371561.329647	812499999.1535938	271697359.39192563	1.715287106518714e+19	4.0036885119223153e+18	0.034	8.369009435902091e-06	2.0109118818829552e+51	0.034	4.2011591618577805e+21	4180898064901.73	17840398497423.26	62081006.88302311	2.6473722428251486e+34	6.719452734308762e+37	4.284266524682332	4.284266524682332	
5221.0217223310365	48230192764.13812	812499979.2405767	271697347.0152969	6.939323958768967e+20	1.6197221358649016e+20	48230192764.13812	812499979.2405767	271697347.0152969	6.939323958768967e+20	1.6197221358649016e+20	0.034	8.369009886925204e-06	2.0109113925246735e+51	0.034	4.201158857799502e+21	4180897859313.7354	17840398019422.055	62080997.969040856	2.647370831064656e+34	6.7194448760983165e+37	4.28426317951604	4.28426317951604	
12391.058180355796	114464902654.16083	812499878.4387609	271697287.6728861	9.27631883141676e+21	2.1652056428264832e+21	114464902654.16083	812499878.4387609	271697287.6728861	9.27631883141676e+21	2.1652056428264832e+21	0.034	8.369012241409796e-06	2.0109089275894117e+51	0.034	4.201157377665298e+21	4180896862939.9326	17840395656211.598	62080953.60170336	2.6473637168396243e+34	6.719405260828355e+37	4.284246298150545	4.284246298150545	
23378.37170759981	215962464696.66553	812499564.7205199	271697109.80499524	6.2300513365217054e+22	1.4541746520590853e+22	215962464696.66553	812499564.7205199	271697109.80499524	6.2300513365217054e+22	1.4541746520590853e+22	0.034	8.36901971614383e-06	2.010901281401378e+51	0.034	4.2011528928092566e+21	4180893853351.676	17840388417747.176	62080817.07873326	2.647341642309762e+34	6.719282307823976e+37	4.2841938674300115	4.2841938674300115	
37881.51598238168	349938096826.0307	812498855.5113541	271696718.399976	2.6504884086157867e+23	6.186648842860032e+22	349938096826.0307	812498855.5113541	271696718.399976	2.6504884086157867e+23	6.186648842860032e+22	0.034	8.369036844547311e-06	2.0108840356638935e+51	0.034	4.2011429448689716e+21	4180887192959.768	17840372236567.48	62080510.891376555	2.647291844216206e+34	6.719004890309521e+37	4.284075510479295	4.284075510479295	
52384.660257163545	483913492950.7663	812497810.4957962	271696157.96895105	7.008847960850283e+23	1.6360073871076306e+23	483913492950.7663	812497810.4957962	271696157.96895105	7.008847960850283e+23	1.6360073871076306e+23	0.034	8.36906243473726e-06	2.0108586847377176e+51	0.034	4.2011285774903285e+21	4180877597305.6904	17840348671919.61	62080063.453121915	2.647218627475666e+34	6.718596943877742e+37	4.283901375006064	4.283901375006064	
66887.80453194541	617888571224.7258	812496429.6750213	271695431.3190691	1.4590218682583384e+24	3.4057516871038826e+23	617888571224.7258	812496429.6750213	271695431.3190691	1.4590218682583384e+24	3.4057516871038826e+23	0.034	8.369096547301565e-06	2.0108252393107313e+51	0.034	4.20110984078028e+21	4180865104003.012	17840317771723.984	62079475.4081509	2.6471220213632587e+34	6.718058631031303e+37	4.283671512035519	4.283671512035519	
81390.94880672728	751863250042.63	812494713.0505545	271694539.0800534	2.6286483306019875e+24	6.136201641372766e+23	751863250042.63	812494713.0505545	271694539.0800534	2.6286483306019875e+24	6.136201641372766e+23	0.034	8.369139195900797e-06	2.0107837021079992e+51	0.034	4.201086746007638e+21	4180849721497.725	17840279546741.18	62078746.90398107	2.647002034549831e+34	6.717390014115388e+37	4.283385940416331	4.283385940416331	
95894.09308150914	885837447934.841	812492660.6242731	271693481.57546955	4.298919955851951e+24	1.0035657492162153e+24	885837447934.841	812492660.6242731	271693481.57546955	4.298919955851951e+24	1.0035657492162153e+24	0.034	8.369190387616258e-06	2.0107340748166782e+51	0.034	4.2010592989872207e+21	4180831454136.7407	17840234002509.492	62077878.01903781	2.646858673335101e+34	6.716591147870805e+37	4.283044676327102	4.283044676327102	
110397.237356291	1019811083513.6799	812490272.3984064	271692258.99264646	6.55895273671535e+24	1.53124151090329e+24	1019811083513.6799	812490272.3984064	271692258.99264646	6.55895273671535e+24	1.53124151090329e+24	0.034	8.369250126613834e-06	2.010676358714822e+51	0.034	4.201027503111315e+21	4180810304444.2373	17840181142245.02	62076868.80147998	2.6466919433031927e+34	6.715662087834984e+37	4.282647735954996	4.282647735954996	
124900.38163107287	1153784075444.5488	812487548.3755361	271690871.4499297	9.497815610370619e+24	2.2174765231225493e+24	1153784075444.5488	812487548.3755361	271690871.4499297	9.497815610370619e+24	2.2174765231225493e+24	0.034	8.369318415594085e-06	2.0106105549202505e+51	0.034	4.200991360549497e+21	4180786274022.6245	17840120967989.54	62075719.284566514	2.646501849977744e+34	6.714602893663883e+37	4.282195136555259	4.282195136555259	
139403.52590585474	1287756342429.275	812484488.5585965	271689319.0272188	1.320452318776564e+25	3.083099271015806e+24	1287756342429.275	812484488.5585965	271689319.0272188	1.320452318776564e+25	3.083099271015806e+24	0.034	8.36939525645069e-06	2.010536664503553e+51	0.034	4.2009508727934335e+21	4180759363961.6353	17840053481131.66	62074429.493634365	2.6462883991193095e+34	6.713413630637412e+37	4.281686896931942	4.281686896931942	
153906.6701806366	1421727803195.914	812481092.9508737	271687601.7813865	1.7768028488443183e+25	4.148937575201934e+24	1421727803195.914	812481092.9508737	271687601.7813865	1.7768028488443183e+25	4.148937575201934e+24	0.034	8.369480650602941e-06	2.0104546885451132e+51	0.034	4.2009060409319594e+21	4180729575044.8896	17839978682670.0	62072999.44962112	2.646051596875319e+34	6.71209437041554e+37	4.281123037679656	4.281123037679656	
168409.81445541847	1555698376492.1987	812477361.5560064	271685719.7547312	2.3277215681620866e+25	5.4358185160437e+24	1555698376492.1987	812477361.5560064	271685719.7547312	2.3277215681620866e+25	5.4358185160437e+24	0.034	8.369574599177977e-06	2.010364628166385e+51	0.034	4.2008568658018834e+21	4180696907863.132	17839896573357.46	62071429.17099638	2.6457914498622135e+34	6.710645191450275e+37	4.280503581315673	4.280503581315673	
182912.95873020033	1689667981081.159	812473294.3779852	271683672.9799194	2.982089283425483e+25	6.964568357921037e+24	1689667981081.159	812473294.3779852	271683672.9799194	2.982089283425483e+25	6.964568357921037e+24	0.034	8.369677103117374e-06	2.010266484548157e+51	0.034	4.20080334807615e+21	4180661362880.436	17839807153785.555	62069718.67489092	2.64550796521331e+34	6.709066179222201e+37	4.27982855235645	4.27982855235645	
197416.1030049822	1823636535738.1035	812468891.4211533	271681461.4830305	3.748778466681677e+25	8.756012473510186e+24	1823636535738.1035	812468891.4211533	271681461.4830305	3.748778466681677e+25	8.756012473510186e+24	0.034	8.369788163242778e-06	2.010160258941805e+51	0.034	4.2007454883181667e+21	4180622940475.001	17839710424436.4	62067867.97779253	2.64520115060823e+34	6.7073574263835e+37	4.279097977364133	4.279097977364133	
211919.24727976407	1957603959248.4841	812464152.6902056	271679085.28551567	4.6366525317515235e+25	1.0830975268068337e+25	1957603959248.4841	812464152.6902056	271679085.28551567	4.6366525317515235e+25	1.0830975268068337e+25	0.034	8.369907780298166e-06	2.0100459526765047e+51	0.034	4.200683287016744e+21	4180581640965.386	17839606385716.12	62065877.09599292	2.644871014291553e+34	6.705519032845354e+37	4.278311884975589	4.278311884975589	
226422.39155454593	2091570170406.3564	812459078.1901892	271676544.40550256	5.654565111569177e+25	1.32102801037237e+25	2091570170406.3564	812459078.1901892	271676544.40550256	5.654565111569177e+25	1.32102801037237e+25	0.034	8.370035954977976e-06	2.0099235671640468e+51	0.034	4.200616744609378e+21	4180537464627.9976	17839495037977.15	62063746.0458863	2.644517565085268e+34	6.703551105833648e+37	4.2774703059213035	4.2774703059213035	
240925.5358293278	2225535088013.25	812453667.9265038	271673838.85869336	6.811359336512201e+25	1.591474922377096e+25	2225535088013.25	812453667.9265038	271673838.85869336	6.811359336512201e+25	1.591474922377096e+25	0.034	8.370172687946467e-06	2.0097931039021317e+51	0.034	4.2005458614982693e+21	4180490411709.1104	17839376381533.527	62061474.844174065	2.6441408123971097e+34	6.701453759922549e+37	4.276573273037506	4.276573273037506	
255428.68010410966	2359498630877.334	812447921.9049003	271670968.6589977	8.115867113795191e+25	1.8965203676972197e+25	2359498630877.334	812447921.9049003	271670968.6589977	8.115867113795191e+25	1.8965203676972197e+25	0.034	8.37031797985138e-06	2.0096545644766705e+51	0.034	4.200470638061609e+21	4180440482433.3545	17839250416671.72	62059063.508009285	2.643740766226299e+34	6.699227117054969e+37	4.275620821274041	4.275620821274041	
269931.82437889156	2493460717812.792	812441840.1314824	271667933.81898975	9.576908407999702e+25	2.238246324186338e+25	2493460717812.792	812441840.1314824	271667933.81898975	9.576908407999702e+25	2.238246324186338e+25	0.034	8.370471831333789e-06	2.0095079505634644e+51	0.034	4.2003910746617377e+21	4180387677009.8325	17839117143658.414	62056512.055101044	2.6433174371675845e+34	6.696871306553599e+37	4.2746129876993395	4.2746129876993395	
284434.9686536734	2627421267639.3555	812435422.6127053	271664734.350245	1.1203290522813313e+26	2.618734635106663e+25	2627421267639.3555	812435422.6127053	271664734.350245	1.1203290522813313e+26	2.618734635106663e+25	0.034	8.37063424303537e-06	2.0093532639294065e+51	0.034	4.2003071716511507e+21	4180331995636.6353	17838976562746.266	62053820.503791355	2.642870836414092e+34	6.694386465125179e+37	4.2735498115034005	4.2735498115034005	
298938.1129284553	2761380199181.955	812428669.355377	271661370.2635925	1.300380738405046e+26	3.040067001560843e+25	2761380199181.955	812428669.355377	271661370.2635925	1.300380738405046e+26	3.040067001560843e+25	0.034	8.37080521560383e-06	2.00919050643339e+51	0.034	4.200218929376997e+21	4180273438504.217	17838828674178.21	62050988.87311244	2.6424009757592633e+34	6.691772736859714e+37	4.272431333999175	4.272431333999175	
