radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	2270833339.0	7171382.517894918	8.354918582087848e+17	30.039416845734603	0.0	2270833339.0	7171382.517894918	8.354918582087848e+17	30.039416845734603	0.034	1.8008173381294724e-08	3.3994511722026575e+54	0.034	6.927164529527894e+21	11909089423144.023	31037904021264.336	99982454.10839057	5.332540240604501e+41	2.0431117075165025e+54	2781318500620.025	2781318500620.025	
0.11	24382.699999999997	2270833339.0	7171382.517894918	9.466122753505531e+17	39982.463821672776	24382.699999999997	2270833339.0	7171382.517894918	9.466122753505531e+17	39982.463821672776	0.034	1.8008173381294724e-08	3.3994511722026575e+54	0.034	6.927164529527894e+21	11909089423144.023	31037904021264.336	99982454.10839057	5.332540240604501e+41	2.0431117075165025e+54	2781318500620.025	2781318500620.025	
11.813999999050006	2878133.9734093943	2270833339.0	7171382.517894888	1.3776400350227149e+23	49531604547.71727	2878133.9734093943	2270833339.0	7171382.517894888	1.3776400350227149e+23	49531604547.71727	0.034	1.800817338129467e-08	3.3994511722026514e+54	0.034	6.927164529527893e+21	11909089423144.021	31037904021264.332	99982454.10839015	5.332540240604478e+41	2.0431117075164854e+54	2781318500620.0137	2781318500620.0137	
795.4267122658538	193944075.16100138	2270833338.999404	7171382.517758393	4.2047747602229125e+28	1.511791892592471e+16	193944075.16100138	2270833338.999404	7171382.517758393	4.2047747602229125e+28	1.511791892592471e+16	0.034	1.8008173381071286e-08	3.399451172162269e+54	0.034	6.927164529516558e+21	11909089423132.893	31037904021248.52	99982454.10638227	5.3325402404751445e+41	2.0431117074151106e+54	2781318500545.1606	2781318500545.1606	
10516.381056535192	2564175262.3491726	2270833338.8957496	7171382.497166222	9.717200581179747e+31	3.4937388541753168e+19	2564175262.3491726	2270833338.8957496	7171382.497166222	9.717200581179747e+31	3.4937388541753168e+19	0.034	1.8008173347751756e-08	3.399451165885073e+54	0.034	6.927164527642992e+21	11909089421239.38	31037904018679.51	99982453.80103372	5.3325402203192415e+41	2.0431116915783498e+54	2781318488750.1167	2781318488750.1167	
53497.86454634415	13044221499.457426	2270833336.3021383	7171382.1696257265	1.2792387423992183e+34	4.5993963125860975e+21	13044221499.457426	2270833336.3021383	7171382.1696257265	1.2792387423992183e+34	4.5993963125860975e+21	0.034	1.8008172843994763e-08	3.399451053309181e+54	0.034	6.927164486589273e+21	11909089376375.088	31037903965158.645	99982448.77773198	5.332539855563528e+41	2.0431114022722602e+54	2781318266418.485	2781318266418.485	
153497.86454634415	37426920007.580444	2270833316.789852	7171381.1630336	3.0216860467624823e+35	1.0864218486615143e+23	37426920007.580444	2270833316.789852	7171381.1630336	3.0216860467624823e+35	1.0864218486615143e+23	0.034	1.8008171616203406e-08	3.399450551841634e+54	0.034	6.927164222973206e+21	11909089058377.834	31037903646061.24	99982431.30753669	5.332538195253818e+41	2.0431100562756874e+54	2781317159066.43	2781317159066.43	
253497.86454634415	61809617626.54909	2270833278.424727	7171382.340594358	1.3610216282721754e+36	4.8934413450502155e+23	61809617626.54909	2270833278.424727	7171382.340594358	1.3610216282721754e+36	4.8934413450502155e+23	0.034	1.8008174750949322e-08	3.3994503140459196e+54	0.034	6.927163802628542e+21	11909088475419.7	31037903199602.715	99982440.96822299	5.332537278044299e+41	2.0431092084612507e+54	2781316206078.143	2781316206078.143	
353497.86454634415	86192322511.69878	2270833221.2067356	7171385.825993088	3.6906463125888147e+36	1.3269419895692005e+24	86192322511.69878	2270833221.2067356	7171385.825993088	3.6906463125888147e+36	1.3269419895692005e+24	0.034	1.8008182465645004e-08	3.3994503692365535e+54	0.034	6.927163229393912e+21	11909087629157.244	31037902632872.637	99982479.48417945	5.332537195902926e+41	2.043108929301751e+54	2781315455421.458	2781315455421.458	
453497.86454634415	110575043066.37341	2270833145.1358185	7171391.759141218	7.79233904581571e+36	2.8016731279265694e+24	110575043066.37341	2270833145.1358185	7171391.759141218	7.79233904581571e+36	2.8016731279265694e+24	0.034	1.800819500622578e-08	3.399450750572999e+54	0.034	6.927162507611209e+21	11909086521463.904	31037901953890.24	99982548.8060073	5.332538052860276e+41	2.0431092985133146e+54	2781314961355.163	2781314961355.163	
553497.8645463441	134957787853.39406	2270833050.2118845	7171400.201233987	1.41673991878676e+37	5.093775948846909e+24	134957787853.39406	2270833050.2118845	7171400.201233987	1.41673991878676e+37	5.093775948846909e+24	0.034	1.8008212480261437e-08	3.3994514725568305e+54	0.034	6.927161639178775e+21	11909085153158.125	31037901166162.055	99982649.78684501	5.332539894411782e+41	2.0431103509578644e+54	2781314747606.9634	2781314747606.9634	
653497.8645463441	159340565524.83472	2270832936.434808	7171411.183303651	2.331713048855372e+37	8.383490262242123e+24	159340565524.83472	2270832936.434808	7171411.183303651	2.331713048855372e+37	8.383490262242123e+24	0.034	1.8008234942302217e-08	3.3994525425395236e+54	0.034	6.92716062505836e+21	11909083524653.738	31037900271465.066	99982782.85928962	5.3325427436209306e+41	2.0431121043083047e+54	2781314826204.0073	2781314826204.0073	
753497.8645463441	183723384786.16556	2270832803.8044295	7171424.723101928	3.574284251040134e+37	1.2851057679075364e+25	183723384786.16556	2270832803.8044295	7171424.723101928	3.574284251040134e+37	1.2851057679075364e+25	0.034	1.8008262423554357e-08	3.399453964723866e+54	0.034	6.927159465799135e+21	11909081636186.164	31037899270814.508	99982948.27077	5.332546613673e+41	2.043114568668198e+54	2781315204020.5493	2781315204020.5493	
853497.8645463441	208106254377.03693	2270832652.320558	7171440.831704099	5.194585205463507e+37	1.8676722002383237e+25	208106254377.03693	2270832652.320558	7171440.831704099	5.194585205463507e+37	1.8676722002383237e+25	0.034	1.8008294943488675e-08	3.399455741729229e+54	0.034	6.927158161742669e+21	11909079487900.889	31037898164842.395	99983146.17562017	5.332551512785692e+41	2.0431177503347515e+54	2781315885339.273	2781315885339.273	
