radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	3981071.70553497	65412.67773367018	0.023604365053785856	0.27399998375964657	0.0	3981071.70553497	65412.67773367018	0.023604365053785856	0.27399998375964657	0.034	2.9796098882016446	5.078915327002332e+28	2.9796098882016446	4545195661446997.0	876366350.8530883	80251588000.2864	8.614732281280158e-06	6.900911759694692e-16	9.083614169456933e-72	5.233014218693513e-73	8.61473228197025e-06	
0.11	19490.4	3981071.70553497	65412.67773367018	0.026743745605906078	364.69397838408963	19490.4	3981071.70553497	65412.67773367018	0.026743745605906078	364.69397838408963	0.034	2.9796098882016446	5.078915327002332e+28	2.9796098882016446	4545195661446997.0	876366350.8530883	80251588000.2864	8.614732281280158e-06	6.900911759694692e-16	9.083614169456933e-72	5.233014218693513e-73	8.61473228197025e-06	
11.712181826661022	2280805.0794261154	3981071.705534941	65412.677733669174	3792.350274891593	440214106.3424191	2280805.0794261154	3981071.705534941	65412.677733669174	3792.350274891593	440214106.3424191	0.034	2.979609888201688	5.078915327001961e+28	2.979609888201688	4545195661446891.0	876366350.8530748	80251588000.28577	8.614732281279777e-06	6.90091175969359e-16	9.083614169453728e-72	5.233014218692305e-73	8.614732281969868e-06	
555.338199174606	108235832.45956528	3981071.7054703454	65412.67773140693	404263903.9004772	46927042023463.484	108235832.45956528	3981071.7054703454	65412.67773140693	404263903.9004772	46927042023463.484	0.034	2.9796098882987674	5.078915326172456e+28	2.9796098882987674	4545195661208733.0	876366350.8227655	80251587998.79974	8.61473228042272e-06	6.900911757226674e-16	9.08361416234037e-72	5.233014215964036e-73	8.614732281112812e-06	
5996.250113078324	1168692747.2204835	3981071.698000685	65412.67747788755	508898940943.79846	5.907309908406288e+16	1168692747.2204835	3981071.698000685	65412.67747788755	508898940943.79846	5.907309908406288e+16	0.034	2.979609899782315	5.078915230564461e+28	2.979609899782315	4545195634317240.0	876366347.4261279	80251587829.17894	8.614732182379597e-06	6.900911472812919e-16	9.083613342014542e-72	5.2330139011223255e-73	8.614732183069688e-06	
27446.2863841448	5349396028.647367	3981071.547683092	65412.67269469592	48802620801203.99	5.665017971954346e+18	5349396028.647367	3981071.547683092	65412.67269469592	48802620801203.99	5.665017971954346e+18	0.034	2.9796101410322073	5.078913318940794e+28	2.9796101410322073	4545195118725249.0	876366283.3407623	80251584503.17166	8.614730251339293e-06	6.900905782951868e-16	9.083596922473159e-72	5.2330075908151614e-73	8.614730252029384e-06	
77357.7866914265	15077357662.002144	3981070.451555067	65412.63984804393	1092708779846969.9	1.2684183106769024e+20	15077357662.002144	3981070.451555067	65412.63984804393	1092708779846969.9	1.2684183106769024e+20	0.034	2.9796119650628317	5.078899458162148e+28	2.9796119650628317	4545191522120370.0	876365843.2571279	80251560807.34914	8.614716437759202e-06	6.900864506612226e-16	9.083477755286486e-72	5.2329617383882866e-73	8.614716438449288e-06	
163200.2343893471	31808404418.30082	3981066.124383454	65412.51557100954	1.0260149495375162e+16	1.191001318183362e+21	31808404418.30082	3981066.124383454	65412.51557100954	1.0260149495375162e+16	1.191001318183362e+21	0.034	2.9796193376867164	5.0788449497592705e+28	2.9796193376867164	4545177756518311.0	876364178.1689346	80251468742.7278	8.614662616243507e-06	6.9007021315442e-16	9.083008832567003e-72	5.232781162386742e-73	8.614662616933577e-06	
263200.23438934714	51298816683.06985	3981057.1892892057	65412.26948708224	4.303747066757623e+16	4.995830833060163e+21	51298816683.06985	3981057.1892892057	65412.26948708224	4.303747066757623e+16	4.995830833060163e+21	0.034	2.9796348972181996	5.078732806962389e+28	2.9796348972181996	4545150177562949.0	876360881.0703999	80251281530.019	8.614552869261217e-06	6.900367969024135e-16	9.082043562839213e-72	5.2324091560871876e-73	8.614552869951254e-06	
363200.23438934714	70789249720.97206	3981044.06329036	65411.917962095235	1.1308906836297706e+17	1.3127615258171967e+22	70789249720.97206	3981044.06329036	65411.917962095235	1.1308906836297706e+17	1.3127615258171967e+22	0.034	2.9796580732461906	5.0785684563597666e+28	2.9796580732461906	4545110464199105.0	876356171.2268547	80251009245.69122	8.614392963252134e-06	6.899878152196187e-16	9.080628497608545e-72	5.231863509225253e-73	8.614392963942122e-06	
463200.23438934714	90279721992.82181	3981026.7464265707	65411.46222973929	2.345745948237083e+17	2.7230269892168734e+22	90279721992.82181	3981026.7464265707	65411.46222973929	2.345745948237083e+17	2.7230269892168734e+22	0.034	2.9796889052377544	5.078351950823393e+28	2.9796889052377544	4545058715611369.0	876350065.1654763	80250652228.58667	8.614183063237589e-06	6.899232844091273e-16	9.078764188964573e-72	5.2311443745849405e-73	8.614183063927513e-06	
563200.2343893471	109770252502.4799	3981005.238749373	65410.90265226331	4.216514739126939e+17	4.894765115230682e+22	109770252502.4799	3981005.238749373	65410.90265226331	4.216514739126939e+17	4.894765115230682e+22	0.034	2.9797274049206726	5.0780833109646395e+28	2.9797274049206726	4544994961103829.0	876342567.7391495	80250210578.5808	8.613923220262444e-06	6.898432126208746e-16	9.076451013315806e-72	5.230251852389596e-73	8.613923220952288e-06	
663200.2343893471	129260860448.4612	3980979.540322216	65410.23941730535	6.884742746065486e+17	7.992354097950486e+22	129260860448.4612	3980979.540322216	65410.23941730535	6.884742746065486e+17	7.992354097950486e+22	0.034	2.9797735785024004	5.07776255218645e+28	2.9797735785024004	4544919216021839.0	876333681.4615824	80249684347.75922	8.61361346316618e-06	6.89747607202504e-16	9.073689364845145e-72	5.2291860460359566e-73	8.613613463855927e-06	
763200.2343893471	148751565127.90256	3980949.65122047	65409.472634743426	1.0491940850730351e+18	1.2180163125385057e+23	148751565127.90256	3980949.65122047	65409.472634743426	1.0491940850730351e+18	1.2180163125385057e+23	0.034	2.979827429758238	5.077389688442867e+28	2.979827429758238	4544831489524415.0	876323407.80477	80249073566.98889	8.613253811337782e-06	6.896364757204932e-16	9.070479682322655e-72	5.2279470698270356e-73	8.61325381202742e-06	
863200.2343893471	168242385894.6312	3980915.5715314257	65408.60237514479	1.5179578869876375e+18	1.7622550821462484e+23	168242385894.6312	3980915.5715314257	65408.60237514479	1.5179578869876375e+18	1.7622550821462484e+23	0.034	2.979888961257322	5.0769647337312205e+28	2.979888961257322	4544731787669857.0	876311747.7140816	80248378256.46677	8.61284427977926e-06	6.895098263650581e-16	9.066822459681752e-72	5.2265350520307226e-73	8.61284428046877e-06	
963200.2343893471	187733342138.0859	3980877.3013542923	65407.62868726627	2.1089079301063898e+18	2.4483863688360824e+23	187733342138.0859	3980877.3013542923	65407.62868726627	2.1089079301063898e+18	2.4483863688360824e+23	0.034	2.9799581749206565	5.076487702770896e+28	2.9799581749206565	4544620114820155.0	876298701.8427044	80247598430.521	8.612384881410202e-06	6.893676681339169e-16	9.062718250761835e-72	5.224950136259141e-73	8.61238488209957e-06	
1063200.234389347	207224453271.61108	3980834.840800195	65406.5516069077	2.8361811071182705e+18	3.29284345491102e+23	207224453271.61108	3980834.840800195	65406.5516069077	2.8361811071182705e+18	3.29284345491102e+23	0.034	2.9800350723034317	5.075958611346347e+28	2.9800350723034317	4544496474351484.0	876284270.6702492	80246734100.03986	8.611875628233484e-06	6.892100109247229e-16	9.058167671633e-72	5.2231924821536614e-73	8.611875628922695e-06	
1163200.234389347	226715738725.45834	3980788.189992174	65405.37116177178	3.71390832880457e+18	4.3120580990440976e+23	226715738725.45834	3980788.189992174	65405.37116177178	3.71390832880457e+18	4.3120580990440976e+23	0.034	2.980119654749998	5.0753774764950225e+28	2.980119654749998	4544360869044194.0	876268454.567854	80245785273.80507	8.611316531975096e-06	6.89036865585259e-16	9.053171401795719e-72	5.2212622657477545e-73	8.611316532664133e-06	
1263200.234389347	246207217942.3607	3980737.3490651823	65404.087374309165	4.756213899535034e+18	5.522460380586902e+23	246207217942.3607	3980737.3490651823	65404.087374309165	4.756213899535034e+18	5.522460380586902e+23	0.034	2.9802119234845974	5.074744316616982e+28	2.9802119234845974	4544213301311137.0	876251253.836301	80244751959.27225	8.610707604458559e-06	6.888482439422607e-16	9.047730184805374e-72	5.2191596796658464e-73	8.610707605147407e-06	
1363200.234389347	265698910374.60754	3980682.3181660837	65402.70026347292	5.977214893131963e+18	6.940478543901825e+23	265698910374.60754	3980682.3181660837	65402.70026347292	5.977214893131963e+18	6.940478543901825e+23	0.034	2.9803118796673242	5.074059151542095e+28	2.9803118796673242	4544053773338438.0	876232668.7295175	80243634163.05235	8.610048857835706e-06	6.886441588186192e-16	9.041844828576922e-72	5.216884933232046e-73	8.61004885852435e-06	
1463200.234389347	285190835482.04285	3980623.0974536533	65401.20984584775	7.391020529134318e+18	8.582538842718612e+23	285190835482.04285	3980623.0974536533	65401.20984584775	7.391020529134318e+18	8.582538842718612e+23	0.034	2.9804195244301406	5.073322002572913e+28	2.9804195244301406	4543882287176117.0	876212699.4697049	80242431891.22142	8.6093403047351e-06	6.884246240438758e-16	9.035516205501296e-72	5.214438252526157e-73	8.609340305423525e-06	
1563200.234389347	304683012730.65594	3980559.6870985744	65399.61613640324	9.011731549494425e+18	1.0465065384516114e+24	304683012730.65594	3980559.6870985744	65399.61613640324	9.011731549494425e+18	1.0465065384516114e+24	0.034	2.9805348589009175	5.072532892512829e+28	2.9805348589009175	4543698844798517.0	876191346.2574302	80241145149.52718	8.60858195836092e-06	6.881896544606332e-16	9.028745252440279e-72	5.21181988040687e-73	8.60858195904911e-06	
1663200.234389347	324175461591.56696	3980492.0872834376	65397.91914901197	1.0853439595740189e+19	1.2604479974930355e+24	324175461591.56696	3980492.0872834376	65397.91914901197	1.0853439595740189e+19	1.2604479974930355e+24	0.034	2.980657884219964	5.071691845685072e+28	2.980657884219964	4543503448145872.0	876168609.2785659	80239773943.53125	8.607773832560837e-06	6.879392659283725e-16	9.021532970640992e-72	5.209030076513415e-73	8.607773833248777e-06	
1763200.234389347	343668201540.2838	3980420.29820274	65396.11889681516	1.2930226586635977e+19	1.5017201962190232e+24	343668201540.2838	3980420.29820274	65396.11889681516	1.2930226586635977e+19	1.5017201962190232e+24	0.034	2.980788601551706	5.0707988879456725e+28	2.980788601551706	4543296099153641.0	876144488.709188	80238318278.7094	8.606915941873822e-06	6.876734753255483e-16	9.013880425591803e-72	5.206069117251962e-73	8.606915942561496e-06	
1863200.234389347	363161252056.1494	3980344.3200628827	65394.21539248679	1.5256164096375435e+19	1.7719648081582206e+24	363161252056.1494	3980344.3200628827	65394.21539248679	1.5256164096375435e+19	1.7719648081582206e+24	0.034	2.9809270120931286	5.069854046692423e+28	2.9809270120931286	4543076799773681.0	876118984.7191157	80236778160.524	8.606008301564533e-06	6.873923005504998e-16	9.005788746834601e-72	5.202937295771538e-73	8.606008302251925e-06	
1963200.234389347	382654632621.9274	3980264.1530821705	65392.20864842813	1.784531273333967e+19	2.0728232299945473e+24	382654632621.9274	3980264.1530821705	65392.20864842813	1.784531273333967e+19	2.0728232299945473e+24	0.034	2.981073117079992	5.068857350871055e+28	2.981073117079992	4542845551989849.0	876092097.4745165	80235153594.47743	8.605050927648532e-06	6.870957605215114e-16	8.997259127742225e-72	5.1996349219315044e-73	8.605050928335628e-06	
2063200.234389347	402148362723.4888	3980179.797490811	65390.09867691362	2.0711721519454196e+19	2.4059365660199105e+24	402148362723.4888	3980179.797490811	65390.09867691362	2.0711721519454196e+19	2.4059365660199105e+24	0.034	2.981226917791501	5.067808830979473e+28	2.981226917791501	4542602357829694.0	876063827.1398605	80233444586.15207	8.60404383691106e-06	6.867838751762479e-16	8.988292825266663e-72	5.1961623222622e-73	8.604043837597844e-06	
2163200.234389347	421642461849.5747	3980091.253530912	65387.88549020196	2.386942727017811e+19	2.7729456125902727e+24	421642461849.5747	3980091.253530912	65387.88549020196	2.386942727017811e+19	2.7729456125902727e+24	0.034	2.981388415553871	5.066708519070513e+28	2.981388415553871	4542347219373347.0	876034173.8794087	80231651141.24074	8.60298704692122e-06	6.864566654707115e-16	8.978891159662153e-72	5.192519839920512e-73	8.602987047607676e-06	
2263200.234389347	441136949491.617	3979998.5214564805	65385.56910062193	2.733245397515904e+19	3.1754908425852363e+24	441136949491.617	3979998.5214564805	65385.56910062193	2.733245397515904e+19	3.1754908425852363e+24	0.034	2.981557611743086	5.065556448753666e+28	2.981557611743086	4542080138760399.0	876003137.8583632	80229773265.57025	8.601880576042798e-06	6.861141533778095e-16	8.969055514186069e-72	5.188707834640148e-73	8.601880576728911e-06	
2363200.234389347	460631845143.6036	3979901.6015334213	65383.14952063949	3.111481217958721e+19	3.615212389871298e+24	460631845143.6036	3979901.6015334213	65383.14952063949	3.111481217958721e+19	3.615212389871298e+24	0.034	2.981734507787056	5.064352655196011e+28	2.981734507787056	4541801118195264.0	875970719.243765	80227810965.11987	8.6007244434426e-06	6.857563618856294e-16	8.958787334779491e-72	5.184726682678283e-73	8.600724444128356e-06	
2463200.234389347	480127168301.9781	3979800.494039536	65380.62676291091	3.523049836628226e+19	4.093750033768945e+24	480127168301.9781	3979800.494039536	65380.62676291091	3.523049836628226e+19	4.093750033768945e+24	0.034	2.9819191051673317	5.063097175122511e+28	2.9819191051673317	4541510159951421.0	875936918.2052073	80225764246.0358	8.599518669096933e-06	6.853833149954364e-16	8.948088129728574e-72	5.1805767767580787e-73	8.599518669782317e-06	
2563200.234389347	499622938465.56824	3979695.1992645203	65378.00084032519	3.969349433854607e+19	4.612743183523748e+24	499622938465.56824	3979695.1992645203	65378.00084032519	3.969349433854607e+19	4.612743183523748e+24	0.034	2.9821114054204902	5.061790046815803e+28	2.9821114054204902	4541207266374800.0	875901734.9154019	80223633114.64279	8.598263273796637e-06	6.849950377194562e-16	8.936959469308183e-72	5.17625852600765e-73	8.598263274481632e-06	
2663200.234389347	519119175135.53455	3979585.7175099626	65375.271766038335	4.451776660381518e+19	5.173830862781625e+24	519119175135.53455	3979585.7175099626	65375.271766038335	4.451776660381518e+19	5.173830862781625e+24	0.034	2.982311410139243	5.060431310115614e+28	2.982311410139243	4540892439886510.0	875865169.5506403	80221417577.4537	8.596958279151027e-06	6.845915560784532e-16	8.925402985407911e-72	5.171772355896009e-73	8.59695827983562e-06	
