radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	1167027652.0	140043305.76214045	676297371071.4432	586.6120274223596	0.0	1167027652.0	140043305.76214045	676297371071.4432	586.6120274223596	0.034	1.4818208196524995e-06	3.7566566571789026e+52	0.034	3.032991761153123e+21	3479518411299.7715	20105687776625.062	136196766.70526457	1.8383225552414154e+37	1.482620420803417e+44	115288.69839971939	115288.69839971939	
0.11	476147.2	1167027652.0	140043305.76214045	766244921423.9453	780780.6084991607	476147.2	1167027652.0	140043305.76214045	766244921423.9453	780780.6084991607	0.034	1.4818208196524995e-06	3.7566566571789026e+52	0.034	3.032991761153123e+21	3479518411299.7715	20105687776625.062	136196766.70526457	1.8383225552414154e+37	1.482620420803417e+44	115288.69839971939	115288.69839971939	
12.289857422297594	58470202.1024206	1167027651.999936	140043305.76212028	1.2553955135559304e+17	1088908773089.4344	58470202.1024206	1167027651.999936	140043305.76212028	1.2553955135559304e+17	1088908773089.4344	0.034	1.4818208196526342e-06	3.756656657176781e+52	0.034	3.0329917611524945e+21	3479518411299.2373	20105687776623.773	136196766.70521513	1.838322555239148e+37	1.4826204207994151e+44	115288.69839951326	115288.69839951326	
290.0423278221925	1380980922.772895	1167027651.964505	140043305.75113046	1.6501440055861772e+21	1.4313146262220702e+16	1380980922.772895	1167027651.964505	140043305.75113046	1.6501440055861772e+21	1.4313146262220702e+16	0.034	1.4818208197286937e-06	3.7566566560029053e+52	0.034	3.032991760808253e+21	3479518411005.9717	20105687775915.188	136196766.6779873	1.8383225539842307e+37	1.482620418586172e+44	115288.69828546034	115288.69828546034	
2080.696023537629	9907129053.71616	1167027650.173317	140043305.24152616	6.092052426243823e+23	5.284171130551224e+18	9907129053.71616	1167027650.173317	140043305.24152616	6.092052426243823e+23	5.284171130551224e+18	0.034	1.481820823914346e-06	3.756656597275414e+52	0.034	3.032991744329837e+21	3479518396796.0957	20105687741071.742	136196765.34622517	1.838322491146683e+37	1.4826203076709113e+44	115288.69255748278	115288.69255748278	
7552.913570816243	35962941350.82018	1167027627.9300625	140043299.66977453	2.913945034041097e+25	2.5275194054187175e+20	35962941350.82018	1167027627.9300625	140043299.66977453	2.913945034041097e+25	2.5275194054187175e+20	0.034	1.4818208814963916e-06	3.756655878136062e+52	0.034	3.0329915549101284e+21	3479518230471.3706	20105687324485.69	136196749.5440076	1.838321720751971e+37	1.4826189463283533e+44	115288.6220494293	115288.6220494293	
18538.054161155138	88268378532.49174	1167027506.99793	140043272.4459127	4.308540145931252e+26	3.7371742300756524e+21	88268378532.49174	1167027506.99793	140043272.4459127	4.308540145931252e+26	3.7371742300756524e+21	0.034	1.4818212172873658e-06	3.7566520094791753e+52	0.034	3.0329905867701973e+21	3479517367306.222	20105685124911.42	136196666.61488286	1.838317572556462e+37	1.4826116099763288e+44	115288.24123815968	115288.24123815968	
35747.34228916465	170209888262.87845	1167027112.8205147	140043190.32917503	3.0893536804964775e+27	2.679674417942718e+22	170209888262.87845	1167027112.8205147	140043190.32917503	3.0893536804964775e+27	2.679674417942718e+22	0.034	1.4818223608238668e-06	3.7566394884247044e+52	0.034	3.0329875642105893e+21	3479514642501.2314	20105678096315.957	136196402.74569508	1.8383041384936386e+37	1.482587837587261e+44	115287.0054441344	115287.0054441344	
58793.188652326484	279941894110.2201	1167026193.5225089	140043009.4567482	1.3743995443006314e+28	1.1921515215911659e+23	279941894110.2201	1167026193.5225089	140043009.4567482	1.3743995443006314e+28	1.1921515215911659e+23	0.034	1.481825106583229e-06	3.756610429750791e+52	0.034	3.0329807289412443e+21	3479508430267.969	20105661930753.152	136195797.7006584	1.8382729476842701e+37	1.4825326224934871e+44	115284.13214177825	115284.13214177825	
81839.03501548832	389673728013.1859	1167024826.0367644	140042756.8846307	3.7068475532855117e+28	3.21537345663564e+23	389673728013.1859	1167024826.0367644	140042756.8846307	3.7068475532855117e+28	3.21537345663564e+23	0.034	1.4818293130785922e-06	3.7565674254511615e+52	0.034	3.0329708926426205e+21	3479499410174.5967	20105638234784.508	136194913.70903742	1.838226767609587e+37	1.4824508408991773e+44	115279.87170623461	115279.87170623461	
104884.88137865016	499405336179.00977	1167023010.3643444	140042435.40972686	7.802788113946626e+28	6.76843053411619e+23	499405336179.00977	1167023010.3643444	140042435.40972686	7.802788113946626e+28	6.76843053411619e+23	0.034	1.4818350010382746e-06	3.7565105134969095e+52	0.034	3.032958111569101e+21	3479487619707.2866	20105607067958.25	136193753.49568638	1.8381656360896697e+37	1.4823425563744446e+44	115274.22659169737	115274.22659169737	
127930.72774181199	609136665205.4102	1167020746.506569	140042045.6804968	1.4158602982554136e+29	1.2282115153568732e+24	609136665205.4102	1167020746.506569	140042045.6804968	1.4158602982554136e+29	1.2282115153568732e+24	0.034	1.4818421752823855e-06	3.7564397031884694e+52	0.034	3.032942398785235e+21	3479473067575.8394	20105568444092.254	136192317.69747686	1.838089563097056e+37	1.4822077884011118e+44	115267.1975326652	115267.1975326652	
